"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2020-09-26","92.8","-1.03","5.53","Jacob deGrom",628450,594798,"strikeout","swinging_strike",,,,,"9","Yadiel Hernandez strikes out swinging.  ","R","L","R","WSH","NYM","S",2,"null",2,2,2020,"0.50","0.27","0.76","1.92","null",665742,"null",2,5,"Bot","null","null",,,"467092",,"null",3.542408557383125,-135.1834386418734,-4.123070861816704,5.376726218668565,28.704364195541068,-28.234452691241657,"3.29","1.49","null","null","null","94.2","2603","7.0",630895,594798,"467092","624413","429664","641645","642708","642086","607043","643446","53.51","null","null","0.00",1,0,0,"null",43,"10","Slider",3,3,3,3,3,3,3,3,"Strategic","Standard"
"FF","2020-09-26","99.3","-1.06","5.46","Jacob deGrom",628450,594798,"null","foul",,,,,"2","null","R","L","R","WSH","NYM","S","null","null",2,2,2020,"-0.74","1.43","0.18","2.94","null",665742,"null",2,5,"Bot","null","null",,,"467092",,"null",5.210125896224755,-144.56572501077636,-4.929774350809737,-11.593190733296735,33.16235605510105,-11.130855277521245,"3.29","1.49","196","82.4","62","100.8","2570","7.0",630895,594798,"467092","624413","429664","641645","642708","642086","607043","643446","53.47","null","null","null","null","null","null","null",43,"9","4-Seam Fastball",3,3,3,3,3,3,3,3,"Strategic","Standard"
"CH","2020-09-26","92.2","-1.01","5.39","Jacob deGrom",628450,594798,"null","foul",,,,,"11","null","R","L","R","WSH","NYM","S","null","null",2,2,2020,"-1.17","0.73","-1.01","2.40","null",665742,"null",2,5,"Bot","null","null",,,"467092",,"null",2.5724591530171517,-134.27049198627597,-3.418465156519278,-14.67087247571848,28.03237197614,-22.79685087128633,"3.29","1.49","278","81.9","36","93.7","1480","7.0",630895,594798,"467092","624413","429664","641645","642708","642086","607043","643446","53.48","null","null","null","null","null","null","null",43,"8","Changeup",3,3,3,3,3,3,3,3,"Strategic","Standard"
"CH","2020-09-26","89.8","-0.93","5.45","Jacob deGrom",628450,594798,"null","ball",,,,,"11","null","R","L","R","WSH","NYM","B","null","null",1,2,2020,"-1.23","0.59","-1.57","3.69","null",665742,"null",2,5,"Bot","null","null",,,"467092",,"null",1.043219943814391,-130.80845394368234,0.37775495521764,-14.37295288876534,26.693043993578176,-25.679011021922367,"2.90","1.22","null","null","null","91.2","1468","7.0",630895,594798,"467092","624413","429664","641645","642708","642086","607043","643446","53.49","null","null","null","null","null","null","null",43,"7","Changeup",3,3,3,3,3,3,3,3,"Strategic","Standard"
"CH","2020-09-26","91.8","-0.97","5.37","Jacob deGrom",628450,594798,"null","foul",,,,,"7","null","R","L","R","WSH","NYM","S","null","null",1,2,2020,"-0.96","0.73","-0.65","1.77","null",665742,"null",2,5,"Bot","null","null",,,"467092",,"null",2.9308626299169247,-133.637327188712,-4.861651454202903,-12.1889997548117,29.450265993219958,-22.634885435906803,"3.29","1.49","null","null","null","92.9","1519","7.0",630895,594798,"467092","624413","429664","641645","642708","642086","607043","643446","53.52","null","null","null","null","null","null","null",43,"6","Changeup",3,3,3,3,3,3,3,3,"Strategic","Standard"
"SL","2020-09-26","89.8","-1.03","5.52","Jacob deGrom",628450,594798,"null","foul",,,,,"14","null","R","L","R","WSH","NYM","S","null","null",1,2,2020,"0.28","0.57","1.05","1.73","null",665742,"null",2,5,"Bot","null","null",,,"467092",,"null",4.609223474301672,-130.8413838809031,-4.743353635162969,2.4213798510980316,24.81215239974239,-24.872300187812122,"3.29","1.49","123","98.0","7","91.3","2618","6.9",630895,594798,"467092","624413","429664","641645","642708","642086","607043","643446","53.61","null","null","null","null","null","null","null",43,"5","Slider",3,3,3,3,3,3,3,3,"Standard","Standard"
"FF","2020-09-26","98.8","-1.03","5.46","Jacob deGrom",628450,594798,"null","ball",,,,,"11","null","R","L","R","WSH","NYM","B","null","null",0,2,2020,"-0.81","1.24","-0.91","3.93","null",665742,"null",2,5,"Bot","null","null",,,"467092",,"null",2.2380057907785638,-143.85710329887655,-1.6248895117020954,-11.74032585476783,34.976825321167595,-14.834461586974372,"2.95","1.33","null","null","null","99.8","2557","6.9",630895,594798,"467092","624413","429664","641645","642708","642086","607043","643446","53.56","null","null","null","null","null","null","null",43,"4","4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard"
"SL","2020-09-26","91.8","-0.94","5.56","Jacob deGrom",628450,594798,"null","foul",,,,,"14","null","R","L","R","WSH","NYM","S","null","null",0,2,2020,"0.53","0.28","1.05","2.14","null",665742,"null",2,5,"Bot","null","null",,,"467092",,"null",3.9335737213181994,-133.77249755667168,-3.4891032965950033,5.588136766195105,27.90971198210265,-28.217075356535037,"3.29","1.49","20","92.5","-7","93.2","2446","7.0",630895,594798,"467092","624413","429664","641645","642708","642086","607043","643446","53.54","null","null","null","null","null","null","null",43,"3","Slider",3,3,3,3,3,3,3,3,"Standard","Standard"
"SL","2020-09-26","91.0","-0.81","5.50","Jacob deGrom",628450,594798,"null","swinging_strike",,,,,"6","null","R","L","R","WSH","NYM","S","null","null",0,1,2020,"0.40","0.57","0.58","2.57","null","null",665742,2,5,"Bot","null","null",,,"467092",,"null",2.639168312366745,-132.5238242796998,-2.692435040887653,4.183749334143214,27.96700723520579,-25.111444717765416,"3.29","1.49","null","null","null","91.9","2621","6.8",630895,594798,"467092","624413","429664","641645","642708","642086","607043","643446","53.72","null","null","null","null","null","null","null",43,"2","Slider",3,3,3,3,3,3,3,3,"Standard","Standard"
"SL","2020-09-26","92.3","-0.97","5.50","Jacob deGrom",628450,594798,"null","foul",,,,,"6","null","R","L","R","WSH","NYM","S","null","null",0,0,2020,"0.23","0.41","0.73","2.19","null","null",665742,2,5,"Bot","null","null",,,"467092",,"null",3.87352496198168,-134.47313384203875,-3.575040572096403,1.9517805425353638,28.176950332474412,-26.653148288088147,"3.29","1.49","141","73.3","34","93.8","2632","7.0",630895,594798,"467092","624413","429664","641645","642708","642086","607043","643446","53.49","null","null","null","null","null","null","null",43,"1","Slider",3,3,3,3,3,3,3,3,"Standard","Strategic"
"FF","2020-09-26","99.2","-0.98","5.44","Jacob deGrom",665742,594798,"walk","ball",,,,,"11","Juan Soto walks.  ","R","L","R","WSH","NYM","B","null","null",3,2,2020,"-0.80","1.44","-1.75","3.60","null","null","null",2,5,"Bot","null","null",,,"467092",,"null",-0.22564982810707843,-144.40584486877944,-3.0064450477017144,-11.108820878137918,34.70081648570433,-11.595519513821682,"2.77","1.44","null","null","null","100.5","2594","7.0",630895,594798,"467092","624413","429664","641645","642708","642086","607043","643446","53.46","null","null","0.70",1,0,0,"null",42,"6","4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard"
"SL","2020-09-26","94.3","-0.97","5.53","Jacob deGrom",665742,594798,"null","called_strike",,,,,"3","null","R","L","R","WSH","NYM","S","null","null",3,1,2020,"0.05","0.54","0.60","3.00","null","null","null",2,5,"Bot","null","null",,,"467092",,"null",4.012351197832605,-137.3600032816547,-2.133788953643692,-0.23515090360735647,29.375909911667414,-25.104870451565432,"2.94","1.41","null","null","null","95.7","2578","7.0",630895,594798,"467092","624413","429664","641645","642708","642086","607043","643446","53.54","null","null","null","null","null","null","null",42,"5","Slider",3,3,3,3,3,3,3,3,"Strategic","Standard"
"CH","2020-09-26","94.2","-0.86","5.43","Jacob deGrom",665742,594798,"null","ball",,,,,"14","null","R","L","R","WSH","NYM","B","null","null",2,1,2020,"-0.81","0.87","0.97","1.28","null","null","null",2,5,"Bot","null","null",,,"467092",,"null",6.636715929774184,-136.96600350375792,-7.0747603834672645,-11.662563461454791,29.666136342943314,-19.885955534200317,"2.97","1.46","null","null","null","95.5","1631","7.0",630895,594798,"467092","624413","429664","641645","642708","642086","607043","643446","53.47","null","null","null","null","null","null","null",42,"4","Changeup",3,3,3,3,3,3,3,3,"Standard","Standard"
"CH","2020-09-26","93.7","-0.82","5.41","Jacob deGrom",665742,594798,"null","ball",,,,,"14","null","R","L","R","WSH","NYM","B","null","null",1,1,2020,"-0.59","0.83","0.98","1.69","null","null","null",2,5,"Bot","null","null",,,"467092",,"null",6.0488820813060995,-136.2858919102268,-5.795077113441117,-8.717017939555062,29.37308457799709,-20.713874147562255,"2.99","1.45","null","null","null","95.0","1573","7.0",630895,594798,"467092","624413","429664","641645","642708","642086","607043","643446","53.49","null","null","null","null","null","null","null",42,"3","Changeup",3,3,3,3,3,3,3,3,"Standard","Standard"
"SL","2020-09-26","92.8","-0.93","5.44","Jacob deGrom",665742,594798,"null","ball",,,,,"14","null","R","L","R","WSH","NYM","B","null","null",0,1,2020,"0.29","0.36","0.98","1.54","null","null","null",2,5,"Bot","null","null",,,"467092",,"null",4.3109019424661685,-135.23371645155603,-5.118051722338029,2.748118316077471,26.251369217402733,-26.867075434510216,"3.03","1.55","null","null","null","94.6","2546","7.0",630895,594798,"467092","624413","429664","641645","642708","642086","607043","643446","53.50","null","null","null","null","null","null","null",42,"2","Slider",3,3,3,3,3,3,3,3,"Standard","Standard"
"SL","2020-09-26","93.0","-1.06","5.52","Jacob deGrom",665742,594798,"null","called_strike",,,,,"5","null","R","L","R","WSH","NYM","S","null","null",0,0,2020,"-0.01","0.42","0.26","2.46","null","null","null",2,5,"Bot","null","null",,,"467092",,"null",3.4692505509703864,-135.53256614628364,-3.0771047156447304,-0.829752321719536,27.141729945791138,-26.54069500971589,"3.00","1.49","null","null","null","94.5","2540","6.9",630895,594798,"467092","624413","429664","641645","642708","642086","607043","643446","53.59","null","null","null","null","null","null","null",42,"1","Slider",3,3,3,3,3,3,3,3,"Standard","Standard"
"SL","2020-09-26","92.3","-1.02","5.56","Jacob deGrom",607208,594798,"field_out","hit_into_play",,,,,"14","Trea Turner grounds out, pitcher Jacob deGrom to first baseman Pete Alonso.  ","R","R","R","WSH","NYM","X",1,"ground_ball",2,2,2020,"0.41","0.56","0.51","1.19","null","null","null",1,5,"Bot","131.37","174.42",,,"467092",,"null",3.0423796137533805,-134.4622706909238,-6.677709763237532,4.430700703707245,25.956971711543588,-24.184444478016562,"3.34","1.66","4","80.0","-20","93.9","2705","6.9",630895,594798,"467092","624413","429664","641645","642708","642086","607043","643446","53.56","0.050","0.045","0.00",1,0,0,2,41,"6","Slider",3,3,3,3,3,3,3,3,"Standard","Standard"
"FF","2020-09-26","98.2","-1.03","5.46","Jacob deGrom",607208,594798,"null","foul",,,,,"3","null","R","R","R","WSH","NYM","S","null","null",2,2,2020,"-1.07","1.25","0.28","3.28","null","null","null",1,5,"Bot","null","null",,,"467092",,"null",6.08908314046927,-142.90678310548574,-3.348980222330265,-16.01407936382653,33.598044426889004,-14.5013638913006,"3.34","1.66","334","102.0","23","99.3","2558","6.9",630895,594798,"467092","624413","429664","641645","642708","642086","607043","643446","53.58","null","null","null","null","null","null","null",41,"5","4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard"
"FF","2020-09-26","98.8","-0.87","5.49","Jacob deGrom",607208,594798,"null","ball",,,,,"11","null","R","R","R","WSH","NYM","B","null","null",1,2,2020,"-1.02","1.20","-1.17","3.97","null","null","null",1,5,"Bot","null","null",,,"467092",,"null",1.5902871961862495,-143.93921237409361,-1.481969960063715,-14.553919164276607,35.66216569091691,-15.459161067419203,"3.27","1.62","null","null","null","99.7","2560","6.9",630895,594798,"467092","624413","429664","641645","642708","642086","607043","643446","53.64","null","null","null","null","null","null","null",41,"4","4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard"
